text,label,label_id
can you help me process a refund?,52,52
the atm won't let me take out cash,26,26
what is the payment in my account that i did not do?,16,16
exchange fee help?,31,31
why are the things i bought earlier today still showing as pending?,45,45
i think that there was an error in calculating the exchange rate. i recently withdrew cash and received much less than expected.,76,76
the wrong account was used during a transaction.,8,8
while on vacation i used an atm to get cash and was overcharged. these charges are ridiculous and had i known about them i would have never used it.,76,76
"i want to add money to my card, what payments do you accept?",54,54
what fiat currencies are supported for holding and exchange?,36,36
what all am i required to show for the identity check?,69,69
exchange rate on a purchase was incorrect,17,17
the atm didn'y give me all the cash,75,75
where is the virtual card located?,40,40
i see money go out that i didn't withdraw.,20,20
how can i get new card?,23,23
how many transactions can i do with a disposable card?,29,29
why is a money transfer not showing?,48,48
why did my payment get declined?,27,27
is there any way i can get more physical cards to use with my account?,39,39
"more than one time this week, i have been charged more than once for the same transaction. please correct the issue and refund the duplicate charges.",63,63
i've completely forgot the code to get into the app.,44,44
an incorrect exchange rate was applied to an item i bought.,17,17
please help my transfer go through,35,35
how do you determine your exchange rates?,32,32
is it free to transfer money or is there a fee?,64,64
i was overcharged an additional pound.,34,34
what do you require for identification verification?,69,69
how can i tell the source for my available funds?,70,70
there is a problem with my card. somebody has removed money from my account in a town i haven't been to. can you please freeze my account immediately?,20,20
how do i contact customer support about my declined transfer?,27,27
i use this card all the time so why did it get declined at the store today?,25,25
why hasn't arrived yet a transaction i did to my friend?,66,66
"i was charged twice, when i didn't purchase anything twice.",63,63
is their a fee for top ups?,57,57
how much more do you charge for currency exchange?,31,31
how can i topup my limit?,60,60
why is there a fee for doing a transfer?,64,64
which identity details are required,74,74
the app declined my top up. what did i do wrong?,61,61
i made a transaction but did it to the wrong account.,8,8
i need to find out why my pending payment hasn't gone through.,45,45
"hey a seller just contacted me that my money didn't come through. it was definitely deducted from my account, but now it appears it's back with me! sort this out asap please.",53,53
why is there a cash withdrawal i didn't make?,20,20
my passcode won't work.,44,44
why has my money disappeared? i topped up earlier and seen it was there and had went through. what seems to be the problem?,61,61
20 came out instead of 100,75,75
i've been waiting for a refund where is it?,51,51
"i saw money was taken out of my account by a seller a while back. i do not recognize the seller, but i'm pretty certain i didn't make that payment. can you track who the seller is?",28,28
will i be charged a fee for exchanging foreign currencies?,31,31
i was charged multiple times at the same location at the same time,63,63
how old do we have to be?,1,1
"it says that my payment is pending, what does that mean?",45,45
how come there is an extra fee on my statement?,34,34
what is the expected delivery date for my card?,11,11
"how long is a top up supposed to be pending, because an hour is too long! can you fix this to go through?",47,47
i need a second card on this account for my daughter.,39,39
for how long will my transfer be pending?,48,48
can i top up using my car?,62,62
how does a us resident go about acquiring a new card?,24,24
what is accepted in regards to cards and currencies?,54,54
there is a card payment that i'm not recognizing.,16,16
will i be charged if i use european bank card for top up?,57,57
"hi there, i've tried to make a transfer 5 different times and its not working. is your system down or something?",35,35
do i need to go to an office to change my pin?,21,21
i am interested in a visa or mastercard. do you offer them?,73,73
there is a direct debit charge on my account that i don't recognize.,28,28
can i be given a new passcode?,44,44
can i get my money back on an item?,52,52
can i use any card and currency?,54,54
i want to have an item refunded can i do that?,52,52
can you give me information about verification code?,71,71
i wish to be able to top up with cash.,58,58
someone else charged my card!,28,28
hello i changed my mind and want a refund on one of things i bought recently. can you please cancel the transaction and get me my money back. please it's urgent.,52,52
can i top up my account with a cheque?,58,58
tell me why there is a fee for a card payment.,15,15
i want to apply for a visa card.,73,73
am i able to order a new card and have it sent to me in china?,9,9
it looks like i was charged twice for a single transaction,63,63
is there an additional charge to exchange currencies?,31,31
is my transfer pending?,48,48
how can i transfer money to my account?,65,65
top up not available in my wallet.,62,62
is there always a charge when withdrawing money?,19,19
"when will i see my cash, since i already deposited my check?",6,6
what do i need to do to request cash back? the atm actually just gave me the wrong amount. the app i actually chose the right amount.,75,75
what are the steps to verify identity?,69,69
how can i topff my account using my apple watch?,2,2
can i use my card while on vacation overseas?,10,10
i need to know where my funds come from.,70,70
"my card was supposed to arrive, but hasn't?",11,11
why is my atm cash withdrawal not working?,26,26
what is the process for unlocking the pin?,49,49
my transfer seems to be too expensive.,64,64
i need to cancel my recent transfer as soon as possible. i made an error there. please help before it goes through.,8,8
i transferred some money but i think it has gotten lost somewhere.,5,5
how soon will i see the transfer in my account?,67,67
what do i do if i accidentally broke my card?,14,14
why hasn't my virtual card come yet?,40,40
can i order a new card to china?,9,9
what do you do to transfer money to my account?,65,65
do i get charged if i am receiving money?,56,56
i selected to withdrawal 30 pounds but only received 10. i'm still standing in front of the atm. the app shows i took out 30 pounds also. how do i fix this?,75,75
when i got cash the exchange rate was wrong,76,76
i topped up my card but the money disappeared.,62,62
can i deposit a check?,58,58
"i just tried to topup and now i'm getting an additional verification message, why?",71,71
"i have done a transfer within the country a couple days ago, but it's still not there yet. can you please check what's going on with that, the account number definitely is the right one, i've checked that several times already.",66,66
i have been trying to exchange this for crypto but the app won't work could you please help me?,7,7
i don't understand why my payment was declined. i thought everything was ok.,25,25
how can i tell where the money came from?,70,70
"hello. please, would you tell me if you have or have not received funds for a refund that i recently requested for a big purchase? i've contacted the merchant, but i can't tell that they have taken any action on it.",51,51
why did i only receive this much currency?,76,76
"i just took some cash out of a cash machine in heathrow airport because i wanted to buy some new sunglasses for my holiday but you've added a fee to the withdrawal, what is this?",19,19
how do you figure out the exchange rate? can you explain why i got less money than expected?,76,76
i need to reset my passcode. where do i go to do that?,44,44
i exchanged russian rubles for british pounds today and got less than i expected. was exchange rate correct?,17,17
can you tell me if a creditrefund is coming from a seller? i asked for refund directly from them and am still waiting. it's been a week now and i still havn't seen my refund yet.,51,51
i accidentally made a transaction to the wrong account.,8,8
what kind of costs are involved for exchanging currency?,31,31
where can i find my pin? i haven't gotten it yet.,38,38
purchases i did not make are appearing in my bank statement?,28,28
i got my new card. how do i activate it?,0,0
how do i add a card on to the app?,13,13
"can you tell me how long it would take, to make a transfer from france? i made one 2 days ago and its not there yet.",5,5
i would like to report an issue with my product and want to get it refunded,52,52
the app reverted my top up,61,61
the app shows a fraudulent payment made on my account.,16,16
i really need some help to understand why my transfer keeps failing. i'm trying to send money to a friend. please help.,35,35
why can't i use my virtual card for subscription services?,72,72
i want to transfer money from another account into this one.,65,65
i got a message that i need to verify my identity what do i do?,69,69
"if i lost my phone, how can i stop someone from accessing my account through the app?",42,42
"there seems to be an additional charge of 1 on my statement, what is the reason for this?",34,34
hello i changed my mind and really need a refund on one of things i bought recently. can you please cancel the transaction and get me my money back. pls it's urgent,52,52
should i contact customer support if i can't edit details,30,30
how to exchange my currency,33,33
when will my funds transfer?,66,66
can you explain why my payment is still pending?,48,48
"i just did a transfer, but don't see the money in my account. what's up?",67,67
why didn't my transfer get to the recipient?,66,66
"i made a transfer and according to the receiver they haven't received the right amount its lesser than it should be.now i have to transfer more money to make up for the missing amount . can you please help me about this,what should be done",64,64
i have a fee and i don't know why,15,15
"my card got blocked, how do i reset?",49,49
i would like to move money from one account to another to top off my account. can you explain how i can do that?,65,65
which outlets accept my card?,10,10
how can i get a refund for an item i purchased but has not yet arrived?,52,52
why does my identity need to be verified?,74,74
what is the process for using my credit card to transfer money?,62,62
when will my transfer from the us get here?,67,67
can this card be used at all atms?,3,3
my payments from my virtual card keep getting rejected.,72,72
why did i get charged one pound seemingly randomly?,34,34
do you have any idea on when i will receive my refund? i got my statement and it was not there.,51,51
"i can't be sure, but i think that someone may be using my card.",22,22
how will i get my card?,12,12
i have a question regarding the pin of the card?,38,38
how do i start an exchange between gbp and aud?,33,33
i want to take back my transaction,8,8
how do i go about getting hold of a virtual card?,40,40
what do i do to activate my new card?,0,0
top up did not complete,47,47
my account shows up as pending after i received cash from the atm earlier. how can this be still pending? i've got the cash already.,46,46
when the time is right will this automatically replenish my balance?,4,4
"i would like to get a physical card, but i don't know how. can you help me?",43,43
why has my new card still not come?,11,11
is this card available to united states residents?,24,24
there are a couple of payments with my card shown in the app that i really didn't make myself. why is it happened?,16,16
what forms of id do you need for identity verification?,69,69
the stupid machine just swallowed my card!! i need a new one asap,18,18
"i withdrew some cash, when is it going to show?",46,46
i have a payment that is still pending,45,45
the exchange rate was different when i got cash,76,76
will i be sent a new card before mine expires?,9,9
can you please tell me why my cash withdrawal is still pending?,46,46
the atm shows a withdraw of the amount of money i requested but i didn't revieve that amount in cash.,75,75
as far as courtries go which ones are supported?,24,24
what id do i need to verify my identity?,69,69
why would my card payment get reverted?,53,53
"you can do that in just a few seconds. go to account, hit activate, and follow the directions from there.",0,0
no visa please. i want to continue with mastercard.,73,73
which currencies do you work with?,54,54
can i use apple pay to top up?,2,2
i used the wrong account.,8,8
"i've tried to send money to my friends and i keep getting rejected. can you please tell me why, i don't understand.",35,35
how do i exchange currencies using the app?,33,33
why isn't my refund shown on my statement?,51,51
i can't find my phone and i'm worried someone is going to use it,42,42
i'd like to open an account for my kids can i do that?,1,1
i cannot see a refund in my account,51,51
i see a duplicate payment.,63,63
what do i do to unblock my pin?,49,49
i'm not sure where my phone is. can someone else use the app?,42,42
there is a direct debit transaction on my statement that i think is not mine. how do i remove?,28,28
do i need a pin,38,38
a transaction shows duplicate times.,63,63
why was my new card declined?,25,25
i sent a cheque a few days ago and i noticed that no money has been put on my account. can you please tell me the situation of my account?,6,6
a few hours ago i made a bank transfer from my uk account but i don't see that it has arrived. can you check and see if all is ok please?,5,5
my attempted transfer failed.,35,35
"i'm in austria right now, but i really need to change my pin right now. can i do this even though i'm in another country?",21,21
when will i see an updated balance after a transfer?,5,5
i requested for a topup but it has not reflected,59,59
please cancel my last transaction.,8,8
is there a way to do top up with apple pay,2,2
i would like to exchange currencies,33,33
"please, i need your help as to whether or not you have money for a large refunded purchase i made. i requested it some time ago from the seller, but nothing is showing up.",51,51
a couple weeks ago there was a debit taken from my account from a transaction i don't recall. is it possible to trace this transaction to make sure i'm not being scammed?,28,28
what are the steps i need to do if i have a stolen card?,41,41
can you tell me where you get your exchange rates?,32,32
"is there anyway, i can get a disposable virtual card?",37,37
my statement shows different transaction times.,63,63
is it ok for a friend to send me money?,50,50
the exchange rate for case abroad is applied wrong.,76,76
where is this money from,70,70
is my top up not working?,47,47
how soon will my card arrive?,12,12
i want this amount reversed out of my account.,52,52
"i am getting an error stating my transfer is not possible while transferring money. let me know the issue as its the first time i am getting error, earlier it used to work.",7,7
how do i get top up with cash deposit,58,58
how long until the transfer is reflected on my account balance?,67,67
help me cancel a transfer.,8,8
my card is about to expire. how do i get a new card?,9,9
i'd like to order another card,39,39
what is the minimum age?,1,1
what countries do your accounts send and receive to?,24,24
how long until my transfer will be available to me,5,5
there is a charge i dont recognize,16,16
you operate in which countries?,24,24
i am still waiting for a transfer i did,5,5
my transfer has been pending for a long time now. i already double checked my account info and it is correct. why is it taking so long in 2018 to transfer money?,48,48
is it possible to get a visa and mastercard from you?,73,73
can i add money automatically to my account while traveling?,4,4
why hasn't the money i transferred into my account shown up yet?,5,5
how can my boss pay me directly to the card?,50,50
when should i expect to see my transfer hit my account?,67,67
am i allowed to transfer money to a beneficiary?,7,7
"i have used all my pin tries, what now?",49,49
i hope to get a visa card,73,73
how long will it take to transfer something from china?,67,67
what is the reason i couldn't do a transfer to a beneficiary?,7,7
my topup has been reverted and i would like to know why.,61,61
i wanted to know why i got an additional fee when i use my card.,15,15
can you tell me how long it takes for a new card to come?,12,12
what is the identity check?,74,74
which cash machines will allow me to change my pin?,21,21
why has my money been returned back to my card.,53,53
i just moved. how do i give you my new address?,30,30
am i permitted to have a spare card?,39,39
is there a way for you to find out why my account was deducted from a seller when i didn't approve of it?,28,28
account topping up bank transfers to my account assistance please?,65,65
how do i go about verifying the topup card?,71,71
what would i be charged in receiving a sepa transfer?,56,56
"my phone was stolen, what can i do?",42,42
is a tracking number available for the card that was just sent?,11,11
"i bought a product a week ago, but may need to return it.",52,52
is it possible to get another card?,39,39
"with my new card, how may i activate it?",0,0
why wasn't my bank balance updated?,5,5
what time will a transfer from the us take?,67,67
where do you have locations at,24,24
"there are transactions that i don't remember making, i think someone might have gotten my card details and is now using it.",22,22
do the disposable cards have any restrictions on them?,29,29
how many transactions can go on a disposable card?,29,29
do you have an age requirement when opening an account with your service?,1,1
is there any way to auto topup?,4,4
what is the source of funds for my money?,70,70
i have an unauthorized direct debit on my account,28,28
"i'm concerned about a payment that has recently been made on my card. i do not recognize the name that the transaction went to, can you help me?",16,16
can i put my old card back in the app?,13,13
how much is it to exchange currency,31,31
what to do about stolen phone,42,42
i did a transfer earlier but see that it failed to go through.,35,35
what can i pay with? does cash work?,58,58
how do i get into my account and edit my details,30,30
"hello. i tried doing a topup and i thought it worked, but now the money is no longer in my account. can you explain?",61,61
how do i link my replacement card?,13,13
please give me both a visa and a mastercard.,73,73
do you guys have any age restrictions?,1,1
"just received my replacement card, what steps do i need to take to activate it?",0,0
what are the steps for making a transfer for topping up?,65,65
